sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
016287d9	413	361	87.41	302	293	70.94	293	70.94
027ff912	654	598	91.44	530	468	71.56	468	71.56
05751894	658	570	86.63	524	511	77.66	511	77.66
059c4922	914	841	92.01	789	724	79.21	724	79.21
073e29ef	286	268	93.71	123	90	31.47	90	31.47
0948e1f5	903	828	91.69	755	710	78.63	710	78.63
09fe1	726	661	91.05	589	518	71.35	518	71.35
0e8ff749	567	520	91.71	455	407	71.78	407	71.78
0fc4a04a	524	470	89.69	442	391	74.62	391	74.62
1322edf8	984	857	87.09	811	736	74.8	736	74.8
13ad5b3f	403	361	89.58	287	258	64.02	258	64.02
14aeaa5c	767	708	92.31	611	581	75.75	581	75.75
15cbc	850	751	88.35	395	258	30.35	258	30.35
188af463	320	285	89.06	169	116	36.25	116	36.25
1f51a	721	673	93.34	585	532	73.79	453	62.83
1f98752c	933	852	91.32	762	648	69.45	648	69.45
1fd8f153	565	523	92.57	442	411	72.74	411	72.74
21f2e6d0	669	551	82.36	462	395	59.04	395	59.04
239ad325	656	603	91.92	485	424	64.63	424	64.63
27c41e29	187	160	85.56	117	112	59.89	112	59.89
29a5795e	1034	946	91.49	899	844	81.62	844	81.62
33805	674	609	90.36	300	200	29.67	200	29.67
37a0dab4	525	487	92.76	403	383	72.95	383	72.95
3b2b7a70	767	714	93.09	650	587	76.53	587	76.53
3bc85c66	113	108	95.58	86	84	74.34	84	74.34
3e34feb3	748	653	87.3	586	556	74.33	556	74.33
41248d58	832	784	94.23	680	569	68.39	569	68.39
42107	823	718	87.24	445	296	35.97	296	35.97
43a5fb8c	407	359	88.21	275	267	65.6	267	65.6
45fea625	784	727	92.73	647	584	74.49	584	74.49
46a4f254	249	227	91.16	163	117	46.99	117	46.99
48bb98a3	730	677	92.74	434	361	49.45	361	49.45
48dff3fa	0	0	0	0	0	0	0	0
4c3396f5	869	795	91.48	691	538	61.91	538	61.91
4eff8	643	581	90.36	300	209	32.5	209	32.5
545350e9	632	586	92.72	519	470	74.37	458	72.47
5466c13f	810	736	90.86	642	618	76.3	618	76.3
55c5f9cd	292	260	89.04	155	121	41.44	121	41.44
5825799a	699	641	91.7	534	493	70.53	493	70.53
5afa94c0	151	141	93.38	65	54	35.76	54	35.76
5bdd5984	809	760	93.94	703	630	77.87	630	77.87
5d082f2c	521	484	92.9	394	368	70.63	368	70.63
